freeSub-CA😈github.com/Ruk1ng001_-2030876507,160.98,214
freeSub-CA😈github.com/Ruk1ng001_-709405532,109.54,320
SSA-🇺🇸US-184.170.241.194-0721,70.47,254
freeSub-US😈github.com/Ruk1ng001_1490566360,61.94,276
freeSub-US😈github.com/Ruk1ng001_1650935518,57.00,291
freeSub-UM😈github.com/Ruk1ng001_-1574784243,56.78,328
fly-US11 8.6MB/s,53.84,175
fly-US7 13.0MB/s,51.61,203
SSA-🇬🇧GB-212.102.53.196-0735,50.38,352
SSA-🇳🇱NL-109.201.152.181-0745,50.30,369
SSA-🇺🇸US-205.134.180.137-0715,49.91,166
SSA-🇺🇸US-205.134.180.147-1743,49.90,177
SSA-🇺🇸US-205.134.180.145-0717,49.87,177
SSA-🇬🇧GB-212.102.53.78-0733,49.83,355
SSA-🇬🇧GB-212.102.53.197-0730,49.82,382
fly-未知78 3.3MB/s,49.79,351
SSA-🇺🇸US-205.134.180.139-0720,49.73,180
SSA-🇬🇧GB-212.102.53.81-0742,49.60,350
SSA-🇬🇧GB-212.102.53.79-0741,49.55,349
SSA-🇬🇧GB-212.102.53.193-0743,49.52,354
SSA-🇬🇧GB-212.102.53.194-0143,49.48,366
SSA-🇺🇸US-205.134.180.151-0716,49.43,182
SSA-🇬🇧GB-212.102.53.195-0732,49.37,352
SSA-🇬🇧GB-212.102.53.198-0734,48.90,351
SSA-🇬🇧GB-212.102.53.197-0736,48.78,357
SSA-🏁RELAY-172.67.132.209-0507,48.60,203
SSA-🇬🇧GB-212.102.53.80-0739,48.04,336
freeSub-US😈github.com/Ruk1ng001_-520677788,43.46,283
freenode-🇺🇸 美国2|@ripaojiedian,42.50,825
SSA-🏁RELAY-172.67.220.83-0492,40.60,264
freeSub-US😈github.com/Ruk1ng001_-1752265945,40.05,399
chromego-United States_None_trojan_1173,37.48,444
freeSub-US😈github.com/Ruk1ng001_-295211058,36.38,299
freeSub-US😈github.com/Ruk1ng001_-559317103,36.22,299
freeSub-US😈github.com/Ruk1ng001_892499380,35.46,326
freeSub-CA😈github.com/Ruk1ng001_-771505478,34.74,404
freeSub-CA😈github.com/Ruk1ng001_200979588,34.63,397
freeSub-US😈github.com/Ruk1ng001_1686356620,33.48,332
freeSub-CA😈github.com/Ruk1ng001_-77568206,32.64,421
freeSub-US😈github.com/Ruk1ng001_-734004162,32.60,472
freeSub-US😈github.com/Ruk1ng001_1189914661,32.28,376
NMW-12|US_speednode_0117,31.30,415
SSA-🏁RELAY-104.21.24.170-0535,31.24,141
NMW-0|-https://t.me/MrXbin-1,30.54,460
chromego-United States_Boardman_ss_111,29.65,192
freeSub-US😈github.com/Ruk1ng001_-811199641,29.57,352
SSA-🏁RELAY-104.16.60.8-1170,29.39,431
freeSub-CA😈github.com/Ruk1ng001_-918012602,29.38,466
freeSub-CA😈github.com/Ruk1ng001_279023244,29.31,475
SSA-🏁RELAY-104.16.60.8-1230,28.45,338
